Address_Hex,Address_Dec,Name,Active,Status
0x06A0,1696,Ausgang 0x06A0,False,Inactive
0x06A1,1697,Ausgang 0x06A1,False,Inactive
0x06A2,1698,Ausgang 0x06A2,False,Inactive
0x06A3,1699,Ausgang 0x06A3,False,Inactive
0x06A4,1700,Ausgang 0x06A4,False,Inactive
0x06A5,1701,Ausgang 0x06A5,False,Inactive
0x06A6,1702,Ausgang 0x06A6,False,Inactive
0x06A7,1703,Ausgang 0x06A7,False,Inactive
0x06A8,1704,Ausgang 0x06A8,False,Inactive
0x06A9,1705,Ausgang 0x06A9,False,Inactive
0x06AA,1706,Ausgang 0x06AA,False,Inactive
0x06AB,1707,Ausgang 0x06AB,False,Inactive
0x06AC,1708,Ausgang 0x06AC,False,Inactive
0x06AD,1709,Ausgang 0x06AD,False,Inactive
0x06AE,1710,Ausgang 0x06AE,False,Inactive
0x06AF,1711,Ausgang 0x06AF,False,Inactive
0x06B0,1712,Ausgang 0x06B0,False,Inactive
0x06B1,1713,Ausgang 0x06B1,False,Inactive
0x06B2,1714,Ausgang 0x06B2,False,Inactive
0x06B3,1715,Ausgang 0x06B3,False,Inactive
0x06B4,1716,Ausgang 0x06B4,False,Inactive
0x06B5,1717,Ausgang 0x06B5,False,Inactive
0x06B6,1718,Ausgang 0x06B6,False,Inactive
0x06B7,1719,Ausgang 0x06B7,False,Inactive
0x06B8,1720,Ausgang 0x06B8,False,Inactive
0x06B9,1721,Ausgang 0x06B9,False,Inactive
0x06BA,1722,Ausgang 0x06BA,False,Inactive
0x06BB,1723,Ausgang 0x06BB,False,Inactive
0x06BC,1724,Ausgang 0x06BC,False,Inactive
0x06BD,1725,Ausgang 0x06BD,False,Inactive
0x06BE,1726,Ausgang 0x06BE,False,Inactive
0x06BF,1727,Ausgang 0x06BF,False,Inactive
0x06C0,1728,Ausgang 0x06C0,False,Inactive
0x06C1,1729,Ausgang 0x06C1,False,Inactive
0x06C2,1730,Ausgang 0x06C2,False,Inactive
0x06C3,1731,Ausgang 0x06C3,False,Inactive
0x06C4,1732,Ausgang 0x06C4,False,Inactive
0x06C5,1733,Ausgang 0x06C5,False,Inactive
0x06C6,1734,Ausgang 0x06C6,False,Inactive
0x06C7,1735,Ausgang 0x06C7,False,Inactive
0x06C8,1736,Ausgang 0x06C8,False,Inactive
0x06C9,1737,Ausgang 0x06C9,False,Inactive
0x06CA,1738,Ausgang 0x06CA,False,Inactive
0x06CB,1739,Ausgang 0x06CB,False,Inactive
0x06CC,1740,Ausgang 0x06CC,False,Inactive
0x06CD,1741,Ausgang 0x06CD,False,Inactive
0x06CE,1742,Ausgang 0x06CE,False,Inactive
0x06CF,1743,Ausgang 0x06CF,False,Inactive
0x06D0,1744,Ausgang 0x06D0,False,Inactive
0x06D1,1745,Ausgang 0x06D1,False,Inactive
0x06D2,1746,Ausgang 0x06D2,False,Inactive
0x06D3,1747,Ausgang 0x06D3,False,Inactive
0x06D4,1748,Ausgang 0x06D4,False,Inactive
0x06D5,1749,Ausgang 0x06D5,False,Inactive
0x06D6,1750,Ausgang 0x06D6,False,Inactive
0x06D7,1751,Ausgang 0x06D7,False,Inactive
0x06D8,1752,Ausgang 0x06D8,False,Inactive
0x06D9,1753,Ausgang 0x06D9,False,Inactive
0x06DA,1754,Ausgang 0x06DA,False,Inactive
0x06DB,1755,Ausgang 0x06DB,False,Inactive
0x06DC,1756,Ausgang 0x06DC,False,Inactive
0x06DD,1757,Ausgang 0x06DD,False,Inactive
0x06DE,1758,Ausgang 0x06DE,False,Inactive
0x06DF,1759,Ausgang 0x06DF,False,Inactive
0x06E0,1760,Ausgang 0x06E0,False,Inactive
0x06E1,1761,Ausgang 0x06E1,False,Inactive
0x06E2,1762,Ausgang 0x06E2,False,Inactive
0x06E3,1763,Ausgang 0x06E3,False,Inactive
0x06E4,1764,Ausgang 0x06E4,False,Inactive
0x06E5,1765,Ausgang 0x06E5,False,Inactive
0x06E6,1766,Ausgang 0x06E6,False,Inactive
0x06E7,1767,Ausgang 0x06E7,False,Inactive
0x06E8,1768,Ausgang 0x06E8,False,Inactive
0x06E9,1769,Ausgang 0x06E9,False,Inactive
0x06EA,1770,Ausgang 0x06EA,False,Inactive
0x06EB,1771,Ausgang 0x06EB,False,Inactive
0x06EC,1772,Ausgang 0x06EC,False,Inactive
0x06ED,1773,Ausgang 0x06ED,False,Inactive
0x06EE,1774,Ausgang 0x06EE,False,Inactive
0x06EF,1775,Ausgang 0x06EF,False,Inactive
0x06F0,1776,Ausgang 0x06F0,False,Inactive
