Address_Hex,Address_Dec,Name,Type,Active,Status
0x009A,154,Melderbus Strang 2 Adresse 51,melderbus,False,Inactive
0x009B,155,Melderbus Strang 2 Adresse 52,melderbus,False,Inactive
0x009C,156,Melderbus Strang 2 Adresse 53,melderbus,False,Inactive
0x009D,157,Melderbus Strang 2 Adresse 54,melderbus,False,Inactive
0x009E,158,Melderbus Strang 2 Adresse 55,melderbus,False,Inactive
0x009F,159,Melderbus Strang 2 Adresse 56,melderbus,False,Inactive
0x00A0,160,Melderbus Strang 2 Adresse 57,melderbus,False,Inactive
0x00A1,161,Melderbus Strang 2 Adresse 58,melderbus,False,Inactive
0x00A2,162,Melderbus Strang 2 Adresse 59,melderbus,False,Inactive
0x00A3,163,Melderbus Strang 2 Adresse 60,melderbus,False,Inactive
0x00A4,164,Melderbus Strang 2 Adresse 61,melderbus,False,Inactive
0x00A5,165,Melderbus Strang 2 Adresse 62,melderbus,False,Inactive
0x00A6,166,Melderbus Strang 2 Adresse 63,melderbus,False,Inactive
0x00A7,167,Eingang 0x00A7,unknown,False,Inactive
0x00A8,168,Eingang 0x00A8,unknown,False,Inactive
0x00A9,169,Eingang 0x00A9,unknown,False,Inactive
0x00AA,170,Eingang 0x00AA,unknown,False,Inactive
0x00AB,171,Eingang 0x00AB,unknown,False,Inactive
0x00AC,172,Eingang 0x00AC,unknown,False,Inactive
0x00AD,173,Eingang 0x00AD,unknown,False,Inactive
0x00AE,174,Eingang 0x00AE,unknown,False,Inactive
0x00AF,175,Eingang 0x00AF,unknown,False,Inactive
0x00B0,176,Bedienteil 0 Deckelkontakt BT,bedienteile,False,Inactive
0x00B1,177,Bedienteil 0 Deckelkontakt AT,bedienteile,False,Inactive
0x00B2,178,Bedienteil 0 Keine Antwort,bedienteile,True,ACTIVE
0x00B3,179,Bedienteil 0 Sondertaste,bedienteile,False,Inactive
0x00B4,180,Bedienteil 1 Deckelkontakt BT,bedienteile,False,Inactive
0x00B5,181,Bedienteil 1 Deckelkontakt AT,bedienteile,False,Inactive
0x00B6,182,Bedienteil 1 Keine Antwort,bedienteile,False,Inactive
0x00B7,183,Bedienteil 1 Sondertaste,bedienteile,False,Inactive
0x00B8,184,Bedienteil 2 Deckelkontakt BT,bedienteile,False,Inactive
0x00B9,185,Bedienteil 2 Deckelkontakt AT,bedienteile,False,Inactive
0x00BA,186,Bedienteil 2 Keine Antwort,bedienteile,False,Inactive
0x00BB,187,Bedienteil 2 Sondertaste,bedienteile,False,Inactive
0x00BC,188,Bedienteil 3 Deckelkontakt BT,bedienteile,False,Inactive
0x00BD,189,Bedienteil 3 Deckelkontakt AT,bedienteile,False,Inactive
0x00BE,190,Bedienteil 3 Keine Antwort,bedienteile,False,Inactive
0x00BF,191,Bedienteil 3 Sondertaste,bedienteile,False,Inactive
0x00C0,192,Bedienteil 4 Deckelkontakt BT,bedienteile,False,Inactive
0x00C1,193,Bedienteil 4 Deckelkontakt AT,bedienteile,False,Inactive
0x00C2,194,Bedienteil 4 Keine Antwort,bedienteile,False,Inactive
0x00C3,195,Bedienteil 4 Sondertaste,bedienteile,False,Inactive
0x00C4,196,Bedienteil 5 Deckelkontakt BT,bedienteile,False,Inactive
0x00C5,197,Bedienteil 5 Deckelkontakt AT,bedienteile,False,Inactive
